{ 02 E0 4C 18 60 0C 00 00 1E 00 }, Delta:5.448ms, Position:[6220,3168], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 39 18 60 0C 00 00 1E 00 }, Delta:5.953ms, Position:[6201,3168], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 21 18 5D 0C 00 00 1D 00 }, Delta:8.280ms, Position:[6177,3165], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 04 18 57 0C 00 00 1D 00 }, Delta:8.231ms, Position:[6148,3159], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 E2 17 47 0C 00 00 1D 00 }, Delta:7.732ms, Position:[6114,3143], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 BA 17 2F 0C 00 00 1C 00 }, Delta:7.876ms, Position:[6074,3119], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 91 17 0E 0C 00 00 1D 00 }, Delta:8.925ms, Position:[6033,3086], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 71 17 E3 0B 00 00 1C 00 }, Delta:4.879ms, Position:[6001,3043], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 56 17 A7 0B 00 00 1C 00 }, Delta:9.367ms, Position:[5974,2983], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 4A 17 63 0B 00 00 1C 00 }, Delta:6.755ms, Position:[5962,2915], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 49 17 1F 0B 00 00 1C 00 }, Delta:10.262ms, Position:[5961,2847], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 51 17 DB 0A 00 00 1C 00 }, Delta:3.768ms, Position:[5969,2779], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 5D 17 98 0A 00 00 1C 00 }, Delta:8.071ms, Position:[5981,2712], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 6C 17 64 0A 00 00 1C 00 }, Delta:8.132ms, Position:[5996,2660], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:28, ReportType:IntuosTabletReport
{ 02 E0 7E 17 37 0A 00 00 1D 00 }, Delta:6.014ms, Position:[6014,2615], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 92 17 13 0A 00 00 1D 00 }, Delta:7.763ms, Position:[6034,2579], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 B0 17 E8 09 00 00 1D 00 }, Delta:8.130ms, Position:[6064,2536], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 DB 17 B8 09 00 00 1E 00 }, Delta:7.741ms, Position:[6107,2488], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
